Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,1066.0,19.0,22.0,1085.0,0.0,6.50600001,6.50600001,0.0,152.57381629943848,,,,,,,,,,,,,,,,1.5004214481000098,1.9552772253304826,6.480972131721622,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1100.0,20.0,35.0,1120.0,0.0,10.908000009999993,10.908000009999993,0.0,157.84681272506714,,,,,,,,,,,,,,,,2.69406141244951,3.211158592884716,10.827229151127844,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,73.0,1.0,74.0,1194.0,0.0,51.40900000999999,51.40900000999999,0.0,205.58101654052734,,,,,,,,,,,,,,,,18.317503821907312,16.71459713191039,50.12194417517594,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,140.0,2.0,68.0,1262.0,0.0,43.00600001,43.00600001,0.0,215.0347182750702,,,,,,,,,,,,,,,,14.738826390272175,13.673959532610844,42.06055920105282,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,184.0,3.0,45.0,1307.0,0.0,25.90600001000002,25.90600001000002,0.0,221.74750518798828,,,,,,,,,,,,,,,,8.09701702683467,8.461740926634063,25.57530656738666,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,211.0,4.0,28.0,1335.0,0.0,9.306000009999995,9.306000009999995,0.0,226.04623675346375,,,,,,,,,,,,,,,,2.206774304621484,2.76473260938628,9.255672776551773,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,244.0,5.0,34.0,1369.0,0.0,15.105000009999996,15.105000009999996,0.0,231.11126065254211,,,,,,,,,,,,,,,,4.465674447703664,4.626595006568284,14.972605358584364,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,282.0,6.0,39.0,1408.0,0.0,19.20700001000002,19.20700001000002,0.0,237.06839728355408,,,,,,,,,,,,,,,,5.477777511273753,6.1041004652629285,19.0178623268985,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,317.0,7.0,36.0,1444.0,0.0,12.006000009999994,12.006000009999994,0.0,242.4001750946045,,,,,,,,,,,,,,,,3.240915693695998,3.5626807225987838,11.904472433153794,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,356.0,8.0,40.0,1484.0,0.0,22.206000010000018,22.206000010000018,0.0,248.23087573051453,,,,,,,,,,,,,,,,6.83208237778218,7.228343220414601,21.96151030757407,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
